name,code,client,team_size_target,start_date,is_active
Project Atlas,PRJ-001,Wonka Foods,30,2025-04-25,f
Project Phoenix,PRJ-002,Umbrella Retail,18,2024-06-09,t
Project Nova,PRJ-003,Hooli Tech,11,2025-02-24,t
Project Zenith,PRJ-004,Acme Corp,6,2024-07-14,t
Project Orion,PRJ-005,Globex Industries,22,2025-01-20,f
Project Titan,PRJ-006,Umbrella Retail,16,2024-11-16,t
Project Nimbus,PRJ-007,Acme Corp,30,2025-08-10,t
Project Vertex,PRJ-008,Stark Logistics,23,2024-12-11,t
Project Quantum,PRJ-009,Vandelay Imports,17,2024-12-04,t
Project Horizon,PRJ-010,Hooli Tech,26,2024-08-14,t
Project Catalyst,PRJ-011,Soylent Health,36,2024-05-23,t
Project Meridian,PRJ-012,Wayne Financial,39,2026-01-17,t
Project Pulse,PRJ-013,Vandelay Imports,26,2026-01-18,t
Project Fusion,PRJ-014,Globex Industries,18,2025-09-04,t
Project Apex,PRJ-015,Soylent Health,31,2024-04-15,t
Project Beacon,PRJ-016,Vandelay Imports,15,2025-11-04,f
Project Cascade,PRJ-017,Umbrella Retail,40,2025-01-20,t
Project Ember,PRJ-018,Soylent Health,17,2025-01-27,t
Project Frontier,PRJ-019,Acme Corp,21,2025-10-08,t
Project Halo,PRJ-020,Hooli Tech,28,2025-10-13,t
